Match_Id,Match_Date,Team_Name_Id,Opponent_Team_Id,Venue_Name,Toss_Winner_Id,Won_By,Match_Winner_Id,Man_Of_The_Match_Id,First_Umpire_Id,Second_Umpire_Id,City_Name
335987,18-Apr-08,2,1,M Chinnaswamy Stadium,2,140,1,2,470,477,Bangalore
335988,19-Apr-08,4,3,"Punjab Cricket Association Stadium, Mohali",3,33,3,19,471,487,Chandigarh
335989,19-Apr-08,6,5,Feroz Shah Kotla,5,9,6,90,472,512,Delhi
335990,20-Apr-08,7,2,Wankhede Stadium,7,5,2,11,473,476,Mumbai
335991,20-Apr-08,1,8,Eden Gardens,8,5,1,4,474,486,Kolkata
335992,21-Apr-08,5,4,Sawai Mansingh Stadium,4,6,5,32,472,513,Jaipur
335993,22-Apr-08,8,6,"Rajiv Gandhi International Stadium, Uppal",8,9,6,41,475,492,Hyderabad
335994,23-Apr-08,3,7,"MA Chidambaram Stadium, Chepauk",7,6,3,18,476,512,Chennai
335995,24-Apr-08,8,5,"Rajiv Gandhi International Stadium, Uppal",5,3,5,31,470,471,Hyderabad
335996,25-Apr-08,4,7,"Punjab Cricket Association Stadium, Mohali",7,66,4,26,472,492,Chandigarh
335997,26-Apr-08,2,5,?,5,7,5,32,471,475,?
335998,26-Apr-08,3,1,"MA Chidambaram Stadium, Chepauk",1,?,3,22,474,479,Chennai
335999,27-Apr-08,7,8,Dr DY Patil Sports Academy,8,10,8,53,470,487,Mumbai
336000,27-Apr-08,4,6,"Punjab Cricket Association Stadium, Mohali",6,4,4,28,477,514,Chandigarh
336001,28-Apr-08,2,3,M Chinnaswamy Stadium,3,13,3,20,478,513,Bangalore
336002,29-Apr-08,1,7,?,1,7,7,44,474,479,?
336003,30-Apr-08,6,2,Feroz Shah Kotla,2,10,6,118,472,514,Delhi
336004,1-May-08,8,4,"Rajiv Gandhi International Stadium, Uppal",4,7,4,100,478,513,Hyderabad
336005,1-May-08,5,1,Sawai Mansingh Stadium,5,45,5,101,477,512,Jaipur
336006,2-May-08,3,6,"MA Chidambaram Stadium, Chepauk",3,8,6,41,474,486,Chennai
336007,25-May-08,8,2,"Rajiv Gandhi International Stadium, Uppal",8,5,2,81,470,477,Hyderabad
336008,3-May-08,4,1,"Punjab Cricket Association Stadium, Mohali",4,9,4,29,476,514,Chandigarh
336009,4-May-08,7,6,Dr DY Patil Sports Academy,6,29,7,49,475,477,Mumbai
336010,4-May-08,5,3,Sawai Mansingh Stadium,3,8,5,102,470,479,Jaipur
336011,5-May-08,2,4,M Chinnaswamy Stadium,4,6,4,77,473,478,Bangalore
336012,6-May-08,3,8,"MA Chidambaram Stadium, Chepauk",8,7,8,53,471,513,Chennai
336013,7-May-08,7,5,Dr DY Patil Sports Academy,7,7,7,73,476,477,Mumbai
336014,8-May-08,6,3,Feroz Shah Kotla,3,4,3,20,472,513,Delhi
336015,8-May-08,1,2,Eden Gardens,1,5,1,1,470,475,Kolkata
336016,9-May-08,5,8,Sawai Mansingh Stadium,5,8,5,31,471,492,Jaipur
336017,28-May-08,2,7,M Chinnaswamy Stadium,7,9,7,149,474,479,Bangalore
336018,10-May-08,3,4,?,4,18,3,151,479,480,?
336019,11-May-08,8,1,"Rajiv Gandhi International Stadium, Uppal",1,23,1,1,475,492,Hyderabad
336020,11-May-08,5,6,Sawai Mansingh Stadium,5,3,5,32,473,477,Jaipur
336021,12-May-08,4,2,"Punjab Cricket Association Stadium, Mohali",2,9,4,100,478,514,Chandigarh
336022,13-May-08,1,6,Eden Gardens,1,23,1,144,470,475,Kolkata
336023,14-May-08,7,3,Wankhede Stadium,7,9,7,44,478,492,Mumbai
336024,28-May-08,4,5,"Punjab Cricket Association Stadium, Mohali",5,41,4,100,473,486,Chandigarh
336025,15-May-08,6,8,Feroz Shah Kotla,8,12,6,136,480,512,Delhi
336026,16-May-08,7,1,Wankhede Stadium,7,8,7,49,478,476,Mumbai
336027,17-May-08,6,4,Feroz Shah Kotla,6,6,4,64,479,477,Delhi
336028,17-May-08,5,2,Sawai Mansingh Stadium,2,65,5,74,474,487,Jaipur
336029,18-May-08,8,7,"Rajiv Gandhi International Stadium, Uppal",8,?,7,71,478,476,Hyderabad
336030,18-May-08,1,3,Eden Gardens,1,3,3,122,470,486,Kolkata
336031,19-May-08,2,6,M Chinnaswamy Stadium,6,5,6,132,473,512,Bangalore
336032,20-May-08,1,5,Eden Gardens,5,6,5,31,480,477,Kolkata
336033,21-May-08,7,4,Wankhede Stadium,7,1,4,100,474,512,Mumbai
336034,21-May-08,3,2,"MA Chidambaram Stadium, Chepauk",2,14,2,124,476,514,Chennai
336036,23-May-08,4,8,"Punjab Cricket Association Stadium, Mohali",4,6,4,100,470,473,Chandigarh
336037,24-May-08,6,7,Feroz Shah Kotla,6,5,6,88,474,486,Delhi
